msa_file,best_model,source
dna_M10243_203_1771.phy,GTR+F+G4,dna_M10243_203_1771.phy/output_files/iqtree/inference/rand.iqtree
dna_M10434_544_5681.phy,TVM+F+I+R6,dna_M10434_544_5681.phy/output_files/iqtree/inference/rand.iqtree
dna_M10467_202_4074.phy,TIM2+F+R6,dna_M10467_202_4074.phy/output_files/iqtree/inference/rand.iqtree
dna_M10933_229_2696.phy,GTR+F+I+R8,dna_M10933_229_2696.phy/output_files/iqtree/inference/rand.iqtree
dna_M1110_330_1711.phy,TVM+F+I+R4,dna_M1110_330_1711.phy/output_files/iqtree/inference/rand.iqtree
dna_M11113_344_9778.phy,GTR+F+R10,dna_M11113_344_9778.phy/output_files/iqtree/inference/rand.iqtree
dna_M11745_316_1494.phy,TIM3+F+I+R4,dna_M11745_316_1494.phy/output_files/iqtree/inference/rand.iqtree
dna_M11762_208_2468.phy,TVM+F+I+R3,dna_M11762_208_2468.phy/output_files/iqtree/inference/rand.iqtree
dna_M12051_699_6914.phy,GTR+F+R10,dna_M12051_699_6914.phy/output_files/iqtree/inference/rand.iqtree
dna_M12098_231_4108.phy,TIM+R8,dna_M12098_231_4108.phy/output_files/iqtree/inference/rand.iqtree
dna_M1224_210_8235.phy,GTR+F+R8,dna_M1224_210_8235.phy/output_files/iqtree/inference/rand.iqtree
dna_M12388_324_1405.phy,K3Pu+F+I+R3,dna_M12388_324_1405.phy/output_files/iqtree/inference/rand.iqtree
dna_M13718_235_2309.phy,GTR+F+R8,dna_M13718_235_2309.phy/output_files/iqtree/inference/rand.iqtree
dna_M14164_204_5549.phy,TIM2+I+R3,dna_M14164_204_5549.phy/output_files/iqtree/inference/rand.iqtree
dna_M14165_204_5611.phy,GTR+F+I+R6,dna_M14165_204_5611.phy/output_files/iqtree/inference/rand.iqtree
dna_M14582_372_61199.phy,GTR+F+R8,dna_M14582_372_61199.phy/output_files/iqtree/inference/rand.iqtree
dna_M14678_225_2673.phy,TIM2+F+R6,dna_M14678_225_2673.phy/output_files/iqtree/inference/rand.iqtree
dna_M1838_228_1131.phy,GTR+F+R8,dna_M1838_228_1131.phy/output_files/iqtree/inference/rand.iqtree
dna_M214_295_1836.phy,TIM2+F+I+R5,dna_M214_295_1836.phy/output_files/iqtree/inference/rand.iqtree
dna_M2307_318_1434.phy,GTR+F+R6,dna_M2307_318_1434.phy/output_files/iqtree/inference/rand.iqtree
dna_M2534_207_976.phy,GTR+F+R6,dna_M2534_207_976.phy/output_files/iqtree/inference/rand.iqtree
dna_M2902_220_1117.phy,TPM2u+F+I+R3,dna_M2902_220_1117.phy/output_files/iqtree/inference/rand.iqtree
dna_M2931_229_4722.phy,GTR+F+I+R5,dna_M2931_229_4722.phy/output_files/iqtree/inference/rand.iqtree
dna_M3031_276_1518.phy,TIM3+F+R5,dna_M3031_276_1518.phy/output_files/iqtree/inference/rand.iqtree
dna_M3198_216_2578.phy,GTR+F+I+R7,dna_M3198_216_2578.phy/output_files/iqtree/inference/rand.iqtree
dna_M3514_217_3665.phy,GTR+R7,dna_M3514_217_3665.phy/output_files/iqtree/inference/rand.iqtree
dna_M3605_260_5315.phy,GTR+F+I+R4,dna_M3605_260_5315.phy/output_files/iqtree/inference/rand.iqtree
dna_M3777_363_1707.phy,TN+F+R4,dna_M3777_363_1707.phy/output_files/iqtree/inference/rand.iqtree
dna_M4170_258_2559.phy,GTR+F+I+R4,dna_M4170_258_2559.phy/output_files/iqtree/inference/rand.iqtree
dna_M4324_206_4543.phy,GTR+R7,dna_M4324_206_4543.phy/output_files/iqtree/inference/rand.iqtree
dna_M4326_227_4055.phy,TIM2+F+I+R3,dna_M4326_227_4055.phy/output_files/iqtree/inference/rand.iqtree
dna_M4399_205_8913.phy,GTR+F+R4,dna_M4399_205_8913.phy/output_files/iqtree/inference/rand.iqtree
dna_M4720_201_2899.phy,TIM2+F+R5,dna_M4720_201_2899.phy/output_files/iqtree/inference/rand.iqtree
dna_M4727_350_6464.phy,GTR+F+R8,dna_M4727_350_6464.phy/output_files/iqtree/inference/rand.iqtree
dna_M4794_204_12113.phy,GTR+F+R8,dna_M4794_204_12113.phy/output_files/iqtree/inference/rand.iqtree
dna_M4806_222_3995.phy,TIM2+F+R5,dna_M4806_222_3995.phy/output_files/iqtree/inference/rand.iqtree
dna_M4850_328_2166.phy,GTR+F+I+R4,dna_M4850_328_2166.phy/output_files/iqtree/inference/rand.iqtree
dna_M4900_206_3074.phy,TIM2+F+R5,dna_M4900_206_3074.phy/output_files/iqtree/inference/rand.iqtree
dna_M4927_268_1275.phy,TIM+F+I+R4,dna_M4927_268_1275.phy/output_files/iqtree/inference/rand.iqtree
dna_M4938_213_1250.phy,GTR+F+I+R5,dna_M4938_213_1250.phy/output_files/iqtree/inference/rand.iqtree
dna_M5078_265_9768.phy,GTR+F+R8,dna_M5078_265_9768.phy/output_files/iqtree/inference/rand.iqtree
dna_M5235_298_11596.phy,GTR+F+R4,dna_M5235_298_11596.phy/output_files/iqtree/inference/rand.iqtree
dna_M5381_413_3632.phy,TIM2+F+I+R9,dna_M5381_413_3632.phy/output_files/iqtree/inference/rand.iqtree
dna_M5731_242_9626.phy,GTR+F+R5,dna_M5731_242_9626.phy/output_files/iqtree/inference/rand.iqtree
dna_M5931_298_4948.phy,GTR+F+R6,dna_M5931_298_4948.phy/output_files/iqtree/inference/rand.iqtree
dna_M6134_219_5158.phy,HKY+F+I+R3,dna_M6134_219_5158.phy/output_files/iqtree/inference/rand.iqtree
